ano_eleicao,sigla_uf,codigo_municipio,nome_municipio,total_votos_municipio,enpv,codmun,regiao,qtd_veiculos,veiculos_por_100k_hab,populacao_2020,idhm,idhm_r,idhm_e
2020,AM,02992,Caapiranga,14390,5.33779906013208,1300839,Norte,0,0,13283,0.569,0.544,0.436
2020,AM,98353,Iranduba,55167,9.072026545327299,1301852,Norte,3,6.1211,49011,0.613,0.607,0.476
2020,AM,98370,Itamarati,10911,5.19733497249951,1301951,Norte,0,0,7814,0.477,0.529,0.266
2020,AM,98396,Manaquiri,21487,5.971853998634997,1302553,Norte,1,3.0258,33049,0.596,0.556,0.51
2020,AM,98418,Presidente Figueiredo,17597,13.665324528632452,1303536,Norte,1,2.6887,37193,0.647,0.627,0.538
2020,AM,98434,Rio Preto Da Eva,26212,5.260472246841365,1303569,Norte,0,0,34106,0.611,0.59,0.493
2020,AM,98450,São Sebastião Do Uatumã,11583,7.688657040947121,1303957,Norte,0,0,14352,0.577,0.561,0.464
2020,AM,98477,Tabatinga,51866,8.47129574717758,1304062,Norte,2,2.9770,67182,0.616,0.602,0.505
2020,AM,98493,Uarini,13230,6.523895257415827,1304260,Norte,0,0,13690,0.527,0.535,0.378
2020,AM,98515,Tonantins,16435,5.799872600411509,1304237,Norte,0,0,18897,0.548,0.508,0.416
2020,AP,06009,Pracuúba,5903,9.554527345040656,1600550,Norte,0,0,5246,0.614,0.539,0.544
2020,AP,06017,Amapá,9339,4.945743808117872,1600105,Norte,1,10.8849,9187,0.642,0.631,0.532
2020,AP,06025,Porto Grande,19455,8.338290083703653,1600535,Norte,1,4.4539,22452,0.64,0.61,0.554
2020,AP,06033,Calçoene,11333,9.146754557589095,1600204,Norte,1,8.8449,11306,0.643,0.636,0.55
2020,AP,06041,Itaubal,12095,10.134807556187106,1600253,Norte,0,0,5617,0.576,0.528,0.477
2020,AP,06050,Macapá,565597,7.585080665429666,1600303,Norte,40,7.7988,512902,0.733,0.723,0.663
2020,AP,06068,Cutias,7971,6.474694192040989,1600212,Norte,0,0,6101,0.628,0.576,0.566
2020,AP,06076,Mazagão,25762,7.334589183060749,1600402,Norte,0,0,22053,0.592,0.609,0.449
2020,AP,06084,Pedra Branca Do Amapari,14451,6.3546231102060995,1600154,Norte,0,0,17067,0.626,0.628,0.502
2020,AP,06092,Oiapoque,22653,13.24486453408613,1600501,Norte,3,10.7504,27906,0.658,0.693,0.527
2020,AP,06106,Serra Do Navio,5280,7.661401578317319,1600055,Norte,0,0,5488,0.709,0.659,0.692
2020,AP,06114,Ferreira Gomes,9488,7.474622757251424,1600238,Norte,2,25.1036,7967,0.656,0.635,0.542
2020,AP,06122,Vitória Do Jari,14927,9.865175135323579,1600808,Norte,0,0,16254,0.619,0.587,0.517
2020,AP,06130,Laranjal Do Jari,39056,6.64733126780768,1600279,Norte,2,3.8939,51362,0.665,0.641,0.573
2020,AP,06157,Santana,116610,12.49047235687268,1600600,Norte,2,1.6247,123096,0.692,0.654,0.638
2020,AP,06173,Tartarugalzinho,15318,7.372431498832902,1600709,Norte,0,0,17769,0.592,0.553,0.473
2020,BA,30007,Luís Eduardo Magalhães,99300,6.457901741038845,2919553,Nordeste,8,8.8729,90162,0.716,0.754,0.59
2020,BA,30058,Eunápolis,114205,7.794152783481207,2910727,Nordeste,17,14.8607,114396,0.677,0.687,0.572
2020,BA,30660,Iuiu,6351,1.6582848769983038,2917334,Nordeste,0,0,11016,0.591,0.553,0.504
2020,BA,30678,Jaborandi,14871,4.626324842976091,2917359,Nordeste,0,0,8277,0.613,0.572,0.508
2020,BA,30694,Jussari,7022,4.417665831068138,2918555,Nordeste,0,0,5768,0.567,0.577,0.451
2020,BA,30716,América Dourada,19558,5.927733341623044,2901155,Nordeste,2,12.4301,16090,0.561,0.506,0.464
2020,BA,30732,Arataca,9589,4.947665833902945,2902252,Nordeste,1,9.1233,10961,0.559,0.557,0.413
2020,BA,30759,Barro Alto,17306,5.337962075110905,2903235,Nordeste,0,0,15054,0.607,0.551,0.55
2020,BA,30775,Barrocas,21382,4.98255048823314,2903276,Nordeste,1,6.2093,16105,0.61,0.574,0.503
2020,BA,30791,Buritirama,23674,3.2915954736411726,2904753,Nordeste,3,14.1004,21276,0.565,0.504,0.471
2020,BA,30813,Capela Do Alto Alegre,14241,3.4629972507050995,2906857,Nordeste,0,0,11616,0.599,0.582,0.48
2020,BA,30830,Capim Grosso,34585,6.4303364108756895,2906873,Nordeste,3,9.7207,30862,0.621,0.62,0.514
2020,BA,30856,Canudos,19911,4.566674786394092,2906824,Nordeste,0,0,16753,0.562,0.554,0.453
2020,BA,30872,Dias D Ávila,37339,2.826683738592475,2910057,Nordeste,0,0,82432,0.676,0.651,0.584
2020,BA,30899,Fátima,23337,3.354885251204575,2910750,Nordeste,0,0,17845,0.559,0.554,0.459
2020,BA,30910,Filadélfia,22700,5.925537466912711,2910859,Nordeste,0,0,16345,0.565,0.553,0.45
2020,BA,30937,Gavião,6886,3.244250771430722,2911253,Nordeste,0,0,4440,0.599,0.566,0.508
2020,BA,30953,Guajeru,9739,2.49440223746922,2911659,Nordeste,0,0,6646,0.569,0.548,0.437
2020,BA,30970,Heliópolis,19249,4.389183418964249,2911857,Nordeste,1,7.7000,12987,0.563,0.547,0.437
2020,BA,30996,João Dourado,27881,5.123176371856152,2918357,Nordeste,0,0,25402,0.593,0.573,0.513
2020,BA,33014,Abaíra,10215,1.9353495849104558,2900108,Nordeste,1,11.4811,8710,0.603,0.577,0.51
2020,BA,33030,Abaré,23378,4.710655839142944,2900207,Nordeste,1,4.9147,20347,0.575,0.533,0.46
2020,BA,33057,Acajutiba,18115,5.289724461017194,2900306,Nordeste,0,0,15187,0.582,0.56,0.487
2020,BA,33065,Adustina,18002,4.356770030834507,2900355,Nordeste,0,0,17126,0.546,0.526,0.432
2020,BA,33073,Água Fria,18339,6.530511784095058,2900405,Nordeste,0,0,17033,0.55,0.529,0.422
2020,BA,33090,Érico Cardoso,13230,2.833411472227087,2900504,Nordeste,1,9.4697,10560,0.584,0.558,0.471
2020,BA,33111,Aiquara,6284,3.980668754950804,2900603,Nordeste,0,0,4416,0.583,0.573,0.471
2020,BA,33138,Alagoinhas,145931,9.698945410713971,2900702,Nordeste,10,6.5648,152327,0.683,0.681,0.592
2020,BA,33154,Alcobaça,26231,6.020804093533862,2900801,Nordeste,1,4.4464,22490,0.608,0.611,0.476
2020,BA,33170,Almadina,7346,4.760858836493052,2900900,Nordeste,0,0,5366,0.563,0.563,0.421
2020,BA,33197,Amargosa,38570,5.045753043634176,2901007,Nordeste,2,5.3417,37441,0.625,0.616,0.492
2020,BA,33219,Amélia Rodrigues,14362,6.937376457636766,2901106,Nordeste,2,7.9847,25048,0.666,0.609,0.6
2020,BA,33235,Anagé,28180,7.677241101147256,2901205,Nordeste,0,0,21607,0.54,0.549,0.371
2020,BA,33251,Andaraí,14476,4.387376974501595,2901304,Nordeste,0,0,13132,0.555,0.54,0.415
2020,BA,33260,Andorinha,18855,6.082693163276887,2901353,Nordeste,0,0,14503,0.588,0.586,0.474
